buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.002339,0.002005,8.003029,0,1.098612,2.996732,1.386294,1.791759,1.754404,1.791759
clean,clean,clean,clean,0.693147,2.079442,2.564949,1.290183,0.000612,0.069365,6.994318,0,1.386294,3.523415,0.405465,1.609438,1.56653,1.609438
clean,clean,buggy,buggy,0.693147,0.693147,0.693147,0,0.000916,0.000458,7.688913,0,1.098612,2.754297,1.386294,3.091042,3.038792,2.995732
buggy,buggy,buggy,buggy,0.693147,0.693147,1.791759,0.804375,0.038996,0.028116,7.753452,0,1.098612,3.592093,0.336472,1.609438,1.564441,1.386294
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.557461,0.008104,0.00078,8.40894,1,1.386294,1.410987,0.916291,1.791759,1.747459,1.609438
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.002677,0.033395,7.021084,0,1.098612,3.759571,1.098612,3.135494,3.067588,3.044522
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.000865,0.000865,7.053586,0,1.098612,3.759571,1.098612,3.178054,3.113071,3.091042
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0.012,6.2106,0,1.098612,2.839663,1.386294,3.218876,3.156575,3.135494
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.000087,0,9.350624,0,1.098612,3.179719,1.386294,1.94591,1.893112,1.94591
buggy,clean,buggy,clean,0.693147,1.609438,1.609438,0.830733,0.000131,0.001111,8.248987,0,1.609438,3.537475,0.81093,2.079442,2.024193,2.079442
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.690158,0.479573,0.207639,2.014903,0,0.693147,2.415021,0.405465,3.258097,3.182627,1.791759
clean,clean,clean,clean,0.693147,0.693147,1.609438,1.076251,0.002058,0.013643,5.899897,0,1.098612,3.898127,0.405465,3.295837,3.223266,3.178054
clean,clean,buggy,clean,0.693147,1.098612,3.367296,1.754997,0.000255,0.006026,6.733485,0,1.386294,3.69511,0.277632,3.332205,3.262318,3.218876
clean,clean,clean,clean,0.693147,1.791759,3.931826,1.878064,0.000173,0.02219,5.446134,0,1.386294,3.826901,0.182322,3.367296,3.298795,3.258097
