buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,clean,buggy,buggy,0.693147,0.693147,0.693147,0,5.655992,0,0,0,0,0,0,2.302585,2.256541,2.302585
clean,clean,clean,clean,1.098612,1.386294,2.484907,1.269378,0.060413,0.016707,5.714327,0,0.693147,2.695978,0.548121,2.890372,2.830858,3.044522
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.693147,0.004274,0.004274,5.457456,0,0.693147,3.329701,0.916291,2.564949,2.530517,1.386294
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.296481,0.040957,0,6.610023,0,1.386294,3.200712,2.442347,2.639057,2.606387,2.484907
buggy,buggy,buggy,buggy,1.098612,1.609438,1.609438,0.862308,0.144498,0.045243,6.45047,1,1.386294,2.959068,1.871802,2.397895,2.351375,2.890372
clean,clean,clean,clean,1.386294,2.197225,2.397895,1.172541,0.012227,0.001216,6.607596,0,1.098612,2.440606,0.641854,2.484907,2.430978,3.258097
clean,clean,clean,clean,1.098612,1.94591,2.079442,1.027939,0.109531,0.029697,6.336826,0,1.098612,2.638343,0.828552,2.944439,2.871868,3.135494
buggy,buggy,buggy,buggy,1.386294,2.302585,3.295837,1.439537,0.409404,0.084854,5.155716,1,1.609438,3.348851,0.672944,2.302585,2.225704,2.890372
clean,clean,clean,clean,0.693147,1.386294,1.609438,0.934755,0.006805,0.006805,6.167516,0,1.098612,3.197039,1.252763,2.564949,2.507972,2.564949
clean,clean,clean,clean,1.098612,1.94591,2.397895,1.376966,0.02741,0.020148,6.238325,0,1.098612,2.749192,0.832909,2.639057,2.578701,3.044522
buggy,clean,clean,clean,1.098612,1.098612,1.386294,0.671691,0.450798,0.021106,6.954639,1,1.098612,2.98366,1.098612,2.397895,2.315501,2.564949
buggy,buggy,buggy,buggy,1.386294,2.484907,3.663562,1.479621,0.097768,0.005329,5.873835,1,1.609438,3.767228,0.48858,2.70805,2.649008,3.465736
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,2.772589,2.715357,0
clean,clean,clean,clean,1.386294,2.944439,4.143135,1.534382,0.248719,0.025546,5.73512,0,1.098612,3.306887,0.19062,2.995732,2.907447,3.258097
buggy,buggy,buggy,buggy,1.386294,3.367296,4.532599,1.824544,0.228913,0.043769,5.721655,0,1.609438,3.553346,0.262364,2.833213,2.777576,3.555348
clean,clean,clean,clean,1.386294,1.386294,1.386294,0.619743,0.456542,0,5.299966,0,1.609438,0.04879,2.269028,2.70805,2.64191,2.70805
clean,clean,clean,clean,1.386294,1.609438,1.791759,0.841334,0.041012,0.001901,6.043583,1,1.609438,3.113515,1.856298,2.890372,2.835564,3.637586
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.044951,0.044951,5.568345,0,0.693147,0.609766,0.693147,2.484907,2.401525,2.302585
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.200722,0.043998,0,6.435349,0,1.609438,2.877512,2.772589,0,0,0
buggy,clean,buggy,buggy,1.386294,1.94591,2.639057,1.219877,0.277223,0.018462,5.920344,1,1.098612,3.023834,0.765468,2.772589,2.698673,2.890372
buggy,clean,buggy,clean,1.386294,2.397895,2.995732,1.532594,0.047143,0.003849,5.912232,0,1.386294,3.542408,0.553885,2.833213,2.761275,3.044522
buggy,buggy,buggy,buggy,0.693147,1.386294,1.791759,1.060903,4.78471,0,0.470004,0,0.693147,2.515274,0.182322,3.044522,2.942331,0
clean,clean,clean,clean,1.386294,1.791759,2.197225,1.103394,0.163315,0.001447,5.847161,0,1.386294,2.873565,0.966984,3.091042,2.993229,3.367296
clean,clean,clean,clean,0.693147,1.386294,1.791759,1.060903,4.78471,0,0.470004,0,0.693147,2.516082,0.182322,3.135494,3.042139,0.693147
clean,clean,clean,clean,1.386294,1.386294,2.70805,1.337774,0.2403,0.21183,4.779712,0,1.791759,3.598408,1.166271,0.693147,0.683097,0.693147
buggy,buggy,buggy,buggy,1.386294,2.564949,3.465736,1.45737,0.155067,0.010385,5.893162,0,1.791759,3.236716,0.693147,3.178054,3.079614,3.465736
buggy,clean,buggy,buggy,1.386294,1.609438,1.609438,0.915707,0.044619,0,6.948897,0,1.791759,1.332366,2.169054,3.218876,3.124565,3.555348
buggy,clean,clean,clean,1.386294,1.386294,1.386294,0.824232,0.028001,0.009132,6.638568,1,1.791759,2.145931,2.457021,2.890372,2.810607,3.178054
buggy,buggy,buggy,buggy,1.386294,1.94591,2.197225,0.67858,0.02281,0.000484,6.65383,1,1.791759,3.23593,1.682688,0,0,0
clean,clean,clean,clean,1.386294,1.94591,2.302585,1.207589,0.01695,0.001577,6.740519,0,1.94591,3.609295,1.564441,2.944439,2.867331,3.295837
clean,clean,clean,clean,1.386294,1.386294,1.609438,0.753216,0.050482,0.001544,5.782286,1,1.94591,2.92047,2.277267,2.995732,2.91723,3.401197
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,2.944439,2.851284,0
buggy,buggy,buggy,buggy,1.386294,2.302585,2.833213,1.198967,0.217791,0.006429,5.641907,0,1.94591,3.284289,1.178655,3.044522,2.960105,3.496508
clean,clean,clean,clean,1.386294,1.609438,1.791759,0.822762,0.040631,0.001905,6.041682,1,1.609438,3.694862,1.791759,2.995732,2.906901,3.713572
clean,clean,clean,clean,0.693147,1.791759,2.197225,1.386294,0,0.007619,4.880906,1,1.098612,4.128585,0.223144,2.564949,2.447551,2.397895
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.003185,0,6.44254,0,1.94591,0.631272,3.637586,2.639057,2.530517,2.197225
clean,clean,clean,clean,1.386294,1.386294,1.791759,1.054399,0.003212,0.00208,6.963947,0,1.94591,3.019937,2.151762,0.693147,0.683097,1.386294
clean,clean,clean,clean,1.386294,1.386294,1.386294,0.559566,0.005734,0,8.103292,0,1.94591,2.972464,2.639057,3.044522,2.955431,3.78419
