buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,buggy,buggy,buggy,0.693147,1.386294,2.564949,1.408026,0.077157,0.106513,5.161925,0,1.609438,1.264127,0.732368,2.944439,2.925846,1.609438
buggy,clean,clean,clean,0.693147,1.098612,2.70805,1.425318,1.246833,0.080938,2.977568,0,1.386294,0.48858,0.451076,2.995732,2.978077,1.791759
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.041673,0.041673,3.871201,0,0.693147,0.067659,0.693147,3.044522,3.027715,1.94591
buggy,clean,clean,buggy,0.693147,2.079442,2.944439,1.464498,0.124912,0.140763,5.269558,0,1.791759,1.283708,0.693147,1.609438,1.597365,0.693147
clean,clean,clean,clean,0.693147,1.098612,1.098612,0.622253,0.010084,0.013423,5.003946,1,1.791759,1.413423,1.504077,1.791759,1.781709,1.098612
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0,0,0,0,1.098612,1.958685,1.098612,2.484907,2.339881,0
clean,clean,clean,clean,0.693147,1.791759,1.94591,1.158079,0.047424,0.044331,5.889792,0,1.609438,2.416806,1.252763,1.94591,1.918392,1.386294
clean,clean,clean,clean,0.693147,1.386294,1.791759,0.756239,0.005041,0.202572,5.627621,0,0.693147,0.647103,0.182322,1.098612,1.07841,0.693147
clean,clean,clean,clean,0.693147,0.693147,1.609438,0,0,0,0,0,1.098612,2.745988,0.693147,1.386294,1.368639,1.098612
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.693147,0.006849,0.006849,4.987025,0,1.098612,2.463002,1.098612,1.609438,1.595339,1.386294
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.004963,0.034233,5.308268,0,1.098612,0,1.791759,1.791759,1.780024,1.609438
clean,clean,clean,clean,0.693147,1.609438,2.564949,0.65328,0,0.032157,4.350278,0,1.098612,1.166271,0.457425,1.94591,1.93586,1.791759
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.662835,0.035647,0.07382,4.828314,0,0.693147,0.00995,0.916291,2.079442,2.070653,1.94591
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.01105,0.021979,4.51086,0,1.098612,0.019803,1.098612,2.197225,2.189416,0.693147
buggy,clean,clean,clean,0.693147,0.693147,1.609438,1.056473,5.826,0,0,0,0,0,0,2.302585,2.293544,2.079442
buggy,clean,buggy,buggy,0.693147,0.693147,0.693147,0,0.451985,0.236716,5.087596,0,0.693147,1.427916,0.693147,2.397895,2.38968,2.197225
clean,clean,clean,clean,0.693147,2.639057,3.367296,1.670055,0.034875,0.047261,5.353374,0,1.098612,1.517323,0.254642,2.484907,2.474856,2.302585
clean,clean,clean,clean,0.693147,0.693147,2.079442,1.302918,7.122867,0,0,0,0,0,0,2.564949,2.555676,2.397895
clean,clean,clean,clean,0.693147,1.609438,1.791759,1.16138,0.030127,0.037839,5.019925,0,1.791759,2.970414,1.098612,2.639057,2.628285,2.484907
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.672753,5.793014,0,0,0,0,0,0,2.70805,2.698,2.564949
buggy,buggy,buggy,buggy,0.693147,0.693147,1.098612,0.690158,0.114542,0.0381,4.644391,0,0.693147,1.759581,0.405465,2.772589,2.756205,2.639057
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.018576,0.018576,5.081404,0,0.693147,1.78507,1.098612,2.833213,2.81481,2.70805
