buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,clean,clean,clean,0.693147,1.098612,1.791759,1.04564,0.023078,0.013527,4.642466,0,0.693147,1.948763,0.693147,3.73767,3.715521,3.401197
buggy,buggy,buggy,buggy,0.693147,1.386294,1.609438,1.004624,0.047327,0.094723,5.738184,0,1.098612,1.868721,0.916291,3.7612,3.739573,3.433987
clean,clean,clean,clean,1.098612,1.098612,1.791759,1.05101,0.193939,0.018282,4.010963,0,0.693147,1.856298,0.693147,3.78419,3.762827,2.484907
clean,clean,clean,clean,1.098612,1.386294,1.386294,0.900909,0.015448,0.00183,5.899897,0,1.098612,1.750937,1.300192,3.806662,3.785779,3.663562
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.001216,0.001216,6.712956,0,0.693147,0.760806,1.609438,3.828641,3.807995,3.496508
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.023754,0.028438,5.342334,0,0.693147,1.99061,1.609438,3.850148,3.829728,3.526361
buggy,buggy,buggy,buggy,0.693147,1.098612,1.94591,1.129371,0.066731,0.03801,5.621596,0,1.098612,1.160021,0.982078,3.871201,3.849083,3.555348
clean,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.066014,0.010444,5.945421,0,0.693147,2.217027,1.609438,3.89182,3.854182,3.583519
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.011976,0.008,5.521461,1,0.693147,3.013572,1.098612,3.912023,3.874529,3.610918
buggy,buggy,buggy,buggy,1.098612,1.098612,1.098612,0.457923,0.263313,0.036368,5.315666,0,0.693147,2.491551,1.504077,3.931826,3.893044,3.828641
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.521194,0.011091,0.009251,5.598422,1,1.098612,2.777576,1.386294,3.951244,3.911023,3.663562
clean,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.001457,0.001457,6.532334,0,0.693147,2.953347,1.609438,3.970292,3.930648,3.688879
