buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,2,3,6,1,2,2,48.33,0,3,12.29,2.33,18,17.38,18
buggy,buggy,buggy,buggy,1,1,9,3.04881,517,11,12.33,0,1,0.09,0.33,19,18.38,17
clean,clean,clean,clean,1,3,5,2.15522,22,14,110.8,0,5,20.91,2.2,20,19.37,18
clean,clean,clean,clean,1,2,3,1.04055,78,11,229.33,0,5,8.59,4,7,6.39,4
clean,clean,clean,clean,1,1,2,0.721928,1,9,130,0,5,0.06,5,8,7.39,5
clean,clean,clean,clean,1,1,3,0.787005,1,67,64,0,3,34.88,3,21,20.29,19
clean,clean,clean,clean,1,1,1,0,10,0,238,0,1,18.33,4,22,21.11,20
buggy,clean,clean,buggy,1,3,7,2.38572,876,321,66.14,0,1,4.83,0.29,23,22.1,21
clean,clean,clean,clean,1,4,5,1.80367,47,13,125.2,0,1,11.79,0.6,24,23.1,22
clean,clean,clean,clean,1,1,1,0,0,38,38,0,1,21.02,1,25,24.1,23
clean,clean,clean,clean,1,1,4,1.41544,117,10,47,0,1,10.56,0.25,26,25.1,24
clean,clean,clean,clean,1,5,5,1.96813,8,14,192.8,0,5,30.88,2.8,27,26.05,25
clean,clean,clean,clean,1,5,7,2.39825,98,13,234.71,0,1,20.76,0.43,28,27.03,26
clean,clean,clean,clean,1,1,1,0,1,1,449,0,3,31.5,9,29,27.92,27
clean,clean,clean,clean,1,2,3,1.05373,138,0,10,0,1,8.35,0.33,30,28.81,28
clean,clean,clean,clean,1,5,6,1.47358,151,24,107.83,0,1,25.08,0.5,31,28.91,29
clean,clean,clean,clean,1,1,1,0,0,130,130,0,1,36.78,1,32,29.91,30
clean,clean,clean,clean,1,9,15,3.79406,50,47,257.4,0,1,29.46,0.33,33,30.91,31
clean,clean,clean,clean,1,8,8,1.58907,49,54,180.5,0,1,26.16,1,34,31.9,32
clean,clean,clean,clean,1,3,13,3.66627,790,0,0,0,0,0,0,9,7.97,6
clean,clean,clean,clean,1,1,1,0,7,0,449,0,4,23.49,10,12,9.08,1
buggy,clean,clean,buggy,1,1,1,0,12,6,362,0,1,18.77,3,35,31.38,33
clean,clean,clean,clean,1,1,1,0,7,2,51,0,1,61.22,1,36,31.95,34
clean,clean,clean,clean,1,1,1,0,0,0,0,0,0,0,0,13,9.74,2
clean,clean,clean,clean,1,1,1,0,0,0,0,0,0,0,0,14,10.74,3
clean,clean,clean,clean,1,1,1,0,0,0,0,0,1,47.66,1,15,11.73,4
clean,clean,clean,clean,1,3,5,2.14743,29,0,179.2,0,1,61.52,0.8,37,32.34,35
clean,clean,clean,clean,1,3,4,1.75041,149,36,110.75,0,1,16.98,1,38,33.19,36
clean,clean,clean,clean,1,13,30,3.65581,104,104,268.13,0,5,77.94,1.13,39,34.01,37
buggy,clean,clean,clean,1,15,75,5.59906,7549,2,6.08,0,4,0.47,0.15,16,12.22,5
clean,clean,clean,clean,1,1,1,0,1,1,248,0,1,63.22,5,40,34.1,38
clean,clean,clean,clean,2,3,6,1.52193,5,5,89.67,0,2,49.41,2.33,41,35.1,42
buggy,clean,clean,clean,1,5,7,2.34379,52,28,110.57,0,1,40.66,0.57,42,36.09,40
clean,clean,clean,clean,1,10,22,4.16623,63,39,126.95,0,2,4.23,0.36,43,37.09,41
clean,clean,clean,clean,1,1,1,0,0,0,0,0,1,2,1,17,13.16,6
clean,clean,clean,clean,1,1,1,0,3,15,288,0,1,0.28,7,18,14.16,7
clean,clean,clean,clean,2,2,2,0.072537,112,2,145,0,2,5.02,5.5,21,16.09,13
clean,clean,clean,clean,1,5,10,2.86723,88,42,156.6,0,2,59.57,1.2,44,37.64,42
clean,clean,clean,clean,1,1,1,0,2,2,521,0,4,7.46,12,45,38.57,43
clean,clean,clean,clean,1,5,9,2.84684,13,29,146.22,0,4,78.09,1.89,46,39.55,44
clean,clean,clean,clean,1,1,2,0.998712,142,0,0,0,0,0,0,47,40.55,45
clean,clean,clean,buggy,1,1,3,1.55957,124,91,96.67,0,1,4.03,1.33,48,41.55,46
clean,clean,clean,clean,1,2,3,1.58496,12,6,68.33,0,1,0.04,0.67,49,42.54,47
buggy,clean,clean,clean,1,20,53,4.94339,520,327,157,0,2,47.83,0.43,50,43.36,48
buggy,clean,clean,clean,1,8,11,2.0502,213,192,177.18,0,2,31.35,1.64,51,44.15,49
buggy,buggy,buggy,buggy,1,3,3,1.07671,43,39,362.67,0,1,31.38,2,52,45.14,50
clean,clean,clean,clean,1,1,1,0,4,2,127,0,1,91.59,2,53,46.13,51
clean,clean,clean,clean,1,2,3,0.592432,61,3,171,0,1,1.99,2.33,54,47.04,52
clean,clean,clean,clean,1,1,1,0,1,1,648,0,1,0.97,7,55,48.03,53
clean,clean,clean,clean,1,1,2,0.985228,9,5,66,0,1,93.59,1,56,48.9,54
buggy,buggy,buggy,buggy,1,10,28,4.21481,149,160,138.71,0,5,56.14,1.14,57,49.9,55
buggy,buggy,buggy,buggy,3,19,61,1.24909,564,72,96.85,0,4,23.66,0.57,22,16.81,15
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,19,14.73,0
clean,clean,clean,clean,2,2,2,0.845351,17,5,237,0,1,0.76,0.5,20,15.73,3
clean,clean,clean,clean,1,1,1,0,1,0,468,0,2,0.02,2,21,16.73,1
buggy,buggy,buggy,buggy,2,9,22,3.94724,1407,129,49.55,0,3,4.15,0.18,22,17.73,10
clean,clean,clean,clean,2,8,18,0,0,0,94.56,0,1,7.58,0.11,23,18.73,12
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,24,19.73,0
clean,buggy,clean,clean,1,8,18,0,0,0,94.56,0,1,0,0.17,25,20.73,4
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,26,21.73,0
clean,clean,clean,clean,1,1,1,0,2,4,469,0,2,0.02,3,27,22.73,5
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,28,23.73,0
clean,clean,clean,clean,1,1,1,0,0,0,0,0,0,0,0,29,24.72,10
clean,clean,clean,clean,1,1,1,0,6,0,310,0,2,1.01,12,30,25.71,11
clean,clean,clean,clean,1,5,6,0.729973,630,20,51,0,3,1.97,1,31,26.54,6
clean,clean,clean,clean,3,5,6,0.981591,37,23,188.67,0,4,44.72,3.33,23,17.64,11
clean,clean,clean,clean,1,1,1,0,5,0,15,0,1,199.35,1,32,27.47,4
buggy,buggy,buggy,buggy,2,10,57,5.59407,5952,2,5.54,0,3,0.07,0.23,33,28.47,19
clean,clean,clean,clean,1,1,2,0,0,0,0,0,0,0,0,34,29.4,13
clean,clean,clean,clean,1,3,5,2.02566,37,9,68.2,0,1,84.52,0.6,58,50.03,56
clean,clean,clean,clean,1,1,1,0,1,1,69,0,2,6.62,4,59,51.01,0
