buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,buggy,buggy,buggy,1,3,5,1.88898,356,0,0.6,0,1,11.37,0.2,20,17.96,0
clean,clean,clean,clean,3,5,8,2.01438,490,4,345.25,0,3,16.7,1.63,21,18.95,28
clean,clean,clean,clean,1,3,5,1.88898,356,0,0.6,0,1,11.38,0.2,22,19.95,1
clean,clean,clean,clean,3,3,14,2.81055,449,390,118.07,0,5,35.54,2.21,1,0.98,1
buggy,buggy,buggy,buggy,3,12,31,3.29465,1880,117,361.55,0,5,24.45,1,23,20.75,31
buggy,clean,buggy,buggy,3,4,4,1.49854,190,0,1041,0,5,2.79,7.75,24,21.75,34
buggy,clean,clean,clean,3,3,3,1.28013,65,21,763,1,5,7.55,10.67,17,15.62,23
buggy,buggy,buggy,buggy,3,6,8,0.971076,143,3,774.75,1,5,24.43,4.38,0,0,0
clean,clean,clean,clean,3,6,9,2.34541,130,12,845,0,6,35.94,3.78,18,16.59,26
clean,clean,clean,clean,3,3,4,1.12382,67,2,323.5,1,6,17.55,8.75,19,17.49,29
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,18,16.31,0
buggy,buggy,buggy,buggy,3,9,16,2.31669,1094,29,281,0,6,25.69,2.25,20,18.3,32
clean,clean,clean,clean,3,4,5,1.27678,87,4,419.6,1,4,39.24,5,19,17.3,40
clean,clean,clean,clean,1,5,8,3,0,8,130.75,1,2,61.09,0.25,12,10.56,10
clean,clean,clean,clean,1,1,1,0,2,0,627,0,6,0.88,37,13,11.56,8
clean,clean,clean,clean,3,3,5,1.87025,17,11,1056.8,0,6,19.49,7.6,1,0.98,3
clean,clean,clean,clean,3,3,3,0.749913,57,0,3304.33,0,6,18.54,13,20,18.21,43
clean,clean,clean,clean,3,3,3,0.749913,57,0,3245.67,0,4,25.91,8.67,21,19.21,46
clean,buggy,buggy,buggy,2,2,2,1,3,1,447.5,1,6,2.2,20,21,19.15,27
buggy,buggy,buggy,buggy,3,8,19,3.51976,529,168,588.63,0,6,11.36,2.16,25,22.15,37
clean,clean,clean,clean,1,1,1,0,8,6,1138,0,4,0.03,9,26,23.15,12
clean,clean,clean,clean,2,2,2,0.970951,10,0,382,0,6,36,21,22,20.11,29
clean,clean,clean,clean,2,2,2,0.970951,10,0,364,0,4,36.88,13.5,23,21.11,31
buggy,clean,buggy,buggy,3,4,15,2.45766,2284,17,229.73,1,6,52.49,2.93,14,12.37,25
clean,clean,clean,clean,3,3,4,0.779781,45,28,1186.25,0,6,7.26,11,27,23.78,41
buggy,buggy,buggy,buggy,2,4,4,1.68404,17,5,389.5,1,6,31.22,11.25,22,19.77,35
clean,clean,clean,clean,2,4,21,2.21583,3522,155,259.62,1,3,21.22,0.19,15,13.24,18
clean,clean,clean,clean,3,3,3,0.679927,86,3,2097.67,0,6,13.99,15.33,16,14.1,30
